job_title,company_size,job_category,description,city,country,remote_work,annual_salary_usd,demand_score,posting_year,required_skills,source,url
Deep Learning Engineer,Startup (1-50),AI Engineering,AI Engineering - Neural Networks|Python|TensorFlow|CUDA|PyTorch|Git|Agile|Leadership,Berlin,Germany,Hybrid,185000.0,89,2026,Neural Networks|Python|TensorFlow|CUDA|PyTorch|Git|Agile|Leadership,Kaggle AI Jobs,
Multimodal AI Engineer,Big Tech (FAANG+),AI Engineering,AI Engineering - PyTorch|Vision-Language Models|APIs|Fine-tuning|Research|Problem Solving,Chicago,USA,On-site,329000.0,90,2025,PyTorch|Vision-Language Models|APIs|Fine-tuning|Research|Problem Solving,Kaggle AI Jobs,
MLOps Engineer,Big Tech (FAANG+),ML Operations,ML Operations - Monitoring|Docker|Kubernetes|MLflow|SQL,Dubai,UAE,On-site,272000.0,93,2026,Monitoring|Docker|Kubernetes|MLflow|SQL,Kaggle AI Jobs,
AI Business Analyst,Enterprise (5000+),Business,Business - SQL|Communication|Python|Data Visualization|Business Analysis|Leadership|Research|SQL,Los Angeles,USA,On-site,201000.0,78,2026,SQL|Communication|Python|Data Visualization|Business Analysis|Leadership|Research|SQL,Kaggle AI Jobs,
RAG Engineer,Enterprise (5000+),AI Engineering,AI Engineering - Embeddings|LLMs|Vector DBs|Search Systems|LangChain|Python|Communication|Agile|Research,Toronto,Canada,Fully Remote,230000.0,94,2025,Embeddings|LLMs|Vector DBs|Search Systems|LangChain|Python|Communication|Agile|Research,Kaggle AI Jobs,
NLP Engineer,SME (51-500),AI Engineering,AI Engineering - LLMs|Python|Transformers|Text Processing|BERT|Hugging Face|Cloud|Research|SQL,Sydney,Australia,Hybrid,145000.0,91,2026,LLMs|Python|Transformers|Text Processing|BERT|Hugging Face|Cloud|Research|SQL,Kaggle AI Jobs,
Robotics Engineer (AI),SME (51-500),Robotics,Robotics - Computer Vision|C++|Simulation|Linux|Research|Problem Solving,Beijing,China,Hybrid,125000.0,76,2025,Computer Vision|C++|Simulation|Linux|Research|Problem Solving,Kaggle AI Jobs,
Senior Data Scientist,SME (51-500),Data Science,Data Science - Causal Inference|Leadership|ML|Advanced Statistics|Deep Learning|Python|Research,Zurich,Switzerland,Fully Remote,157000.0,90,2025,Causal Inference|Leadership|ML|Advanced Statistics|Deep Learning|Python|Research,Kaggle AI Jobs,
ML Engineer,SME (51-500),AI Engineering,AI Engineering - MLOps|Python|PyTorch|SQL|Agile|Statistics|Linux,San Francisco,USA,Hybrid,224000.0,97,2026,MLOps|Python|PyTorch|SQL|Agile|Statistics|Linux,Kaggle AI Jobs,
AI Business Analyst,Mid-size (501-5000),Business,Business - Communication|Python|SQL|Agile|Git|SQL,San Francisco,USA,Hybrid,216000.0,78,2025,Communication|Python|SQL|Agile|Git|SQL,Kaggle AI Jobs,
AI Ethics Officer,Enterprise (5000+),Governance,Governance - Research|Ethics Frameworks|Communication|Research|Problem Solving|Cloud,Boston,USA,Hybrid,208000.0,72,2025,Research|Ethics Frameworks|Communication|Research|Problem Solving|Cloud,Kaggle AI Jobs,
NLP Engineer,Big Tech (FAANG+),AI Engineering,AI Engineering - LLMs|Transformers|BERT|Hugging Face|Agile|Problem Solving,Zurich,Switzerland,On-site,348000.0,91,2026,LLMs|Transformers|BERT|Hugging Face|Agile|Problem Solving,Kaggle AI Jobs,
AI Infrastructure Eng,Enterprise (5000+),Infrastructure,Infrastructure - Networking|Kubernetes|CUDA|Distributed Systems|Storage|Cloud|Leadership|Statistics|Cloud,Remote,Global,Hybrid,285000.0,85,2025,Networking|Kubernetes|CUDA|Distributed Systems|Storage|Cloud|Leadership|Statistics|Cloud,Kaggle AI Jobs,
Deep Learning Engineer,Startup (1-50),AI Engineering,AI Engineering - CUDA|GPU Computing|TensorFlow|Python|Neural Networks|Communication|Statistics,Toronto,Canada,Hybrid,141000.0,89,2025,CUDA|GPU Computing|TensorFlow|Python|Neural Networks|Communication|Statistics,Kaggle AI Jobs,
AI Infrastructure Eng,Enterprise (5000+),Infrastructure,Infrastructure - Distributed Systems|CUDA|Kubernetes|Cloud|Networking|Storage|Git,Austin,USA,Hybrid,160000.0,85,2026,Distributed Systems|CUDA|Kubernetes|Cloud|Networking|Storage|Git,Kaggle AI Jobs,
Senior ML Engineer,Startup (1-50),AI Engineering,AI Engineering - MLOps|Distributed Systems|System Design|LLM Fine-tuning|PyTorch|Python|Problem Solving|SQL|Git,London,UK,Hybrid,223000.0,96,2026,MLOps|Distributed Systems|System Design|LLM Fine-tuning|PyTorch|Python|Problem Solving|SQL|Git,Kaggle AI Jobs,
AI Engineer,Enterprise (5000+),AI Engineering,AI Engineering - Cloud (AWS/GCP/Azure)|PyTorch|Python|Docker|LLM Integration|Problem Solving|Communication|Cloud,Amsterdam,Netherlands,Hybrid,221000.0,95,2025,Cloud (AWS/GCP/Azure)|PyTorch|Python|Docker|LLM Integration|Problem Solving|Communication|Cloud,Kaggle AI Jobs,
MLOps Engineer,Big Tech (FAANG+),ML Operations,ML Operations - Monitoring|CI/CD|Docker|Cloud|Kubernetes|Problem Solving,Beijing,China,Fully Remote,130000.0,93,2025,Monitoring|CI/CD|Docker|Cloud|Kubernetes|Problem Solving,Kaggle AI Jobs,
AI Business Analyst,Startup (1-50),Business,Business - Data Visualization|Communication|Python|Problem Solving,Bangalore,India,Hybrid,95000.0,78,2025,Data Visualization|Communication|Python|Problem Solving,Kaggle AI Jobs,
Data Scientist,Mid-size (501-5000),Data Science,Data Science - Scikit-learn|Python|SQL|Statistics|Git,Chicago,USA,Fully Remote,198000.0,92,2026,Scikit-learn|Python|SQL|Statistics|Git,Kaggle AI Jobs,
Deep Learning Engineer,Mid-size (501-5000),AI Engineering,AI Engineering - GPU Computing|PyTorch|TensorFlow|CUDA|Neural Networks|SQL,Dubai,UAE,Hybrid,238000.0,89,2026,GPU Computing|PyTorch|TensorFlow|CUDA|Neural Networks|SQL,Kaggle AI Jobs,
NLP Engineer,Enterprise (5000+),AI Engineering,AI Engineering - LLMs|Text Processing|Hugging Face|Python|Transformers|Linux|Cloud|Communication,Boston,USA,Hybrid,192000.0,91,2026,LLMs|Text Processing|Hugging Face|Python|Transformers|Linux|Cloud|Communication,Kaggle AI Jobs,
AI Product Manager,Mid-size (501-5000),Product,Product - Data Analysis|Agile|Product Strategy|AI Literacy|Stakeholder Mgmt|Statistics|Leadership,Dubai,UAE,Hybrid,149000.0,85,2025,Data Analysis|Agile|Product Strategy|AI Literacy|Stakeholder Mgmt|Statistics|Leadership,Kaggle AI Jobs,
NLP Engineer,Startup (1-50),AI Engineering,AI Engineering - Text Processing|Transformers|LLMs|Python|BERT|Hugging Face|Research,Amsterdam,Netherlands,Hybrid,164000.0,91,2026,Text Processing|Transformers|LLMs|Python|BERT|Hugging Face|Research,Kaggle AI Jobs,
Senior ML Engineer,Mid-size (501-5000),AI Engineering,AI Engineering - Distributed Systems|LLM Fine-tuning|MLOps|PyTorch|System Design|SQL|Git|Communication,Remote,Global,Hybrid,272000.0,96,2026,Distributed Systems|LLM Fine-tuning|MLOps|PyTorch|System Design|SQL|Git|Communication,Kaggle AI Jobs,
AI Infrastructure Eng,Enterprise (5000+),Infrastructure,Infrastructure - Cloud|CUDA|Storage|Kubernetes|Distributed Systems|Communication,Boston,USA,Hybrid,275000.0,85,2026,Cloud|CUDA|Storage|Kubernetes|Distributed Systems|Communication,Kaggle AI Jobs,
RAG Engineer,Enterprise (5000+),AI Engineering,AI Engineering - LLMs|Python|Embeddings|Vector DBs|Search Systems|LangChain|Statistics|Agile,London,UK,Fully Remote,189000.0,94,2026,LLMs|Python|Embeddings|Vector DBs|Search Systems|LangChain|Statistics|Agile,Kaggle AI Jobs,
Data Scientist,Enterprise (5000+),Data Science,Data Science - Python|Scikit-learn|SQL|ML Algorithms|Data Visualization|Research|Agile|Communication,London,UK,Fully Remote,146000.0,92,2026,Python|Scikit-learn|SQL|ML Algorithms|Data Visualization|Research|Agile|Communication,Kaggle AI Jobs,
Multimodal AI Engineer,Startup (1-50),AI Engineering,AI Engineering - PyTorch|Vision-Language Models|Python|APIs|Fine-tuning|Cloud|Linux|Communication,Austin,USA,Fully Remote,180000.0,90,2025,PyTorch|Vision-Language Models|Python|APIs|Fine-tuning|Cloud|Linux|Communication,Kaggle AI Jobs,
Computer Vision Engineer,Mid-size (501-5000),AI Engineering,AI Engineering - OpenCV|CNNs|PyTorch|Python|SQL|Agile,Remote,Global,On-site,234000.0,87,2025,OpenCV|CNNs|PyTorch|Python|SQL|Agile,Kaggle AI Jobs,
Data Engineer (AI),SME (51-500),Data Engineering,Data Engineering - dbt|Spark|Python|Airflow|SQL|Cloud|Git,Boston,USA,On-site,240000.0,88,2025,dbt|Spark|Python|Airflow|SQL|Cloud|Git,Kaggle AI Jobs,
Senior Data Scientist,Enterprise (5000+),Data Science,Data Science - Leadership|Python|ML|Causal Inference|Advanced Statistics|Deep Learning|Statistics,Sydney,Australia,Hybrid,169000.0,90,2026,Leadership|Python|ML|Causal Inference|Advanced Statistics|Deep Learning|Statistics,Kaggle AI Jobs,
AI Agent Developer,Startup (1-50),AI Engineering,AI Engineering - Python|LangChain|APIs|Tool Use|Planning Systems|AutoGen|Problem Solving,Singapore,Singapore,On-site,257000.0,96,2026,Python|LangChain|APIs|Tool Use|Planning Systems|AutoGen|Problem Solving,Kaggle AI Jobs,
AI Compliance Manager,Big Tech (FAANG+),Governance,Governance - Auditing|Documentation|EU AI Act|SQL,Austin,USA,On-site,188000.0,68,2025,Auditing|Documentation|EU AI Act|SQL,Kaggle AI Jobs,
Senior Data Scientist,Big Tech (FAANG+),Data Science,Data Science - ML|Deep Learning|Advanced Statistics|SQL|Leadership|Agile,Amsterdam,Netherlands,Hybrid,157000.0,90,2026,ML|Deep Learning|Advanced Statistics|SQL|Leadership|Agile,Kaggle AI Jobs,
AI Ethics Officer,Startup (1-50),Governance,Governance - Ethics Frameworks|Research|Risk Assessment|Leadership|Agile|Research,Zurich,Switzerland,Hybrid,110000.0,72,2026,Ethics Frameworks|Research|Risk Assessment|Leadership|Agile|Research,Kaggle AI Jobs,
Generative AI Engineer,Enterprise (5000+),AI Engineering,AI Engineering - Diffusion Models|Deployment|Python|GenAI APIs|Fine-tuning|LLMs|Agile|Statistics|Linux,Los Angeles,USA,Fully Remote,354000.0,95,2025,Diffusion Models|Deployment|Python|GenAI APIs|Fine-tuning|LLMs|Agile|Statistics|Linux,Kaggle AI Jobs,
Data Engineer (AI),Big Tech (FAANG+),Data Engineering,Data Engineering - Feature Stores|Python|Airflow|SQL|dbt|SQL|Agile,Austin,USA,Hybrid,160000.0,88,2026,Feature Stores|Python|Airflow|SQL|dbt|SQL|Agile,Kaggle AI Jobs,
Data Engineer (AI),Mid-size (501-5000),Data Engineering,Data Engineering - ETL|dbt|Feature Stores|Python|SQL|Spark|Linux,Tokyo,Japan,Fully Remote,130000.0,88,2026,ETL|dbt|Feature Stores|Python|SQL|Spark|Linux,Kaggle AI Jobs,
Multimodal AI Engineer,Startup (1-50),AI Engineering,AI Engineering - APIs|Fine-tuning|Vision-Language Models|Linux|Statistics,Sydney,Australia,Fully Remote,160000.0,90,2025,APIs|Fine-tuning|Vision-Language Models|Linux|Statistics,Kaggle AI Jobs,
AI Compliance Manager,Startup (1-50),Governance,Governance - Auditing|Legal Knowledge|Risk Management|Documentation|Leadership,Beijing,China,Hybrid,100000.0,68,2026,Auditing|Legal Knowledge|Risk Management|Documentation|Leadership,Kaggle AI Jobs,
ML Engineer,Enterprise (5000+),AI Engineering,AI Engineering - TensorFlow|SQL|Kubernetes|Python|Research,London,UK,Hybrid,120000.0,97,2026,TensorFlow|SQL|Kubernetes|Python|Research,Kaggle AI Jobs,
Data Engineer (AI),Enterprise (5000+),Data Engineering,Data Engineering - dbt|Airflow|ETL|Feature Stores|SQL|Cloud|Agile|Git,Seattle,USA,On-site,130000.0,88,2026,dbt|Airflow|ETL|Feature Stores|SQL|Cloud|Agile|Git,Kaggle AI Jobs,
Senior ML Engineer,Startup (1-50),AI Engineering,AI Engineering - System Design|Distributed Systems|PyTorch|MLOps|Python|LLM Fine-tuning|Git|Leadership|Communication,Amsterdam,Netherlands,Hybrid,180000.0,96,2025,System Design|Distributed Systems|PyTorch|MLOps|Python|LLM Fine-tuning|Git|Leadership|Communication,Kaggle AI Jobs,
Deep Learning Engineer,Big Tech (FAANG+),AI Engineering,AI Engineering - GPU Computing|CUDA|Neural Networks|TensorFlow|PyTorch|Python|Research,Chicago,USA,Hybrid,222000.0,89,2025,GPU Computing|CUDA|Neural Networks|TensorFlow|PyTorch|Python|Research,Kaggle AI Jobs,
MLOps Engineer,Enterprise (5000+),ML Operations,ML Operations - Monitoring|Python|MLflow|Leadership|Cloud|Research,Zurich,Switzerland,Hybrid,131000.0,93,2026,Monitoring|Python|MLflow|Leadership|Cloud|Research,Kaggle AI Jobs,
Deep Learning Engineer,Big Tech (FAANG+),AI Engineering,AI Engineering - Python|TensorFlow|CUDA|GPU Computing|Neural Networks|PyTorch|Research,Toronto,Canada,Hybrid,247000.0,89,2025,Python|TensorFlow|CUDA|GPU Computing|Neural Networks|PyTorch|Research,Kaggle AI Jobs,
Multimodal AI Engineer,Startup (1-50),AI Engineering,AI Engineering - APIs|PyTorch|Vision-Language Models|Python|Fine-tuning|Problem Solving,Beijing,China,On-site,160000.0,90,2025,APIs|PyTorch|Vision-Language Models|Python|Fine-tuning|Problem Solving,Kaggle AI Jobs,
AI Infrastructure Eng,Mid-size (501-5000),Infrastructure,Infrastructure - Networking|Distributed Systems|CUDA|Statistics,Seattle,USA,On-site,324000.0,85,2025,Networking|Distributed Systems|CUDA|Statistics,Kaggle AI Jobs,
Senior Data Scientist,Mid-size (501-5000),Data Science,Data Science - Deep Learning|Advanced Statistics|ML|Python|Causal Inference|Problem Solving,Seattle,USA,Fully Remote,157000.0,90,2026,Deep Learning|Advanced Statistics|ML|Python|Causal Inference|Problem Solving,Kaggle AI Jobs,
MLOps Engineer,SME (51-500),ML Operations,ML Operations - Cloud|Kubernetes|Docker|CI/CD|Monitoring|MLflow|Leadership|Problem Solving,Zurich,Switzerland,Fully Remote,191000.0,93,2025,Cloud|Kubernetes|Docker|CI/CD|Monitoring|MLflow|Leadership|Problem Solving,Kaggle AI Jobs,
AI Ethics Officer,Big Tech (FAANG+),Governance,Governance - Risk Assessment|Ethics Frameworks|Research|Linux|Cloud|Git,Singapore,Singapore,Fully Remote,126000.0,72,2025,Risk Assessment|Ethics Frameworks|Research|Linux|Cloud|Git,Kaggle AI Jobs,
NLP Engineer,Startup (1-50),AI Engineering,AI Engineering - Transformers|Text Processing|Python|Hugging Face|BERT|Linux|Research|Leadership,Sydney,Australia,On-site,167000.0,91,2026,Transformers|Text Processing|Python|Hugging Face|BERT|Linux|Research|Leadership,Kaggle AI Jobs,
RAG Engineer,Enterprise (5000+),AI Engineering,AI Engineering - Vector DBs|Embeddings|Search Systems|Git,Dubai,UAE,Hybrid,157000.0,94,2025,Vector DBs|Embeddings|Search Systems|Git,Kaggle AI Jobs,
AI Engineer,Mid-size (501-5000),AI Engineering,AI Engineering - Python|Cloud (AWS/GCP/Azure)|Docker|PyTorch|LLM Integration|SQL|Cloud,Beijing,China,Hybrid,100000.0,95,2026,Python|Cloud (AWS/GCP/Azure)|Docker|PyTorch|LLM Integration|SQL|Cloud,Kaggle AI Jobs,
Data Scientist,Mid-size (501-5000),Data Science,Data Science - ML Algorithms|Scikit-learn|Data Visualization|SQL|Linux,Bangalore,India,Fully Remote,138000.0,92,2026,ML Algorithms|Scikit-learn|Data Visualization|SQL|Linux,Kaggle AI Jobs,
AI Product Manager,Big Tech (FAANG+),Product,Product - AI Literacy|Stakeholder Mgmt|Data Analysis|Product Strategy|Agile|Git|Statistics,Paris,France,Fully Remote,258000.0,85,2026,AI Literacy|Stakeholder Mgmt|Data Analysis|Product Strategy|Agile|Git|Statistics,Kaggle AI Jobs,
AI Infrastructure Eng,Mid-size (501-5000),Infrastructure,Infrastructure - Storage|Kubernetes|CUDA|Networking|Cloud|Distributed Systems|Agile|Problem Solving,Remote,Global,Hybrid,248000.0,85,2025,Storage|Kubernetes|CUDA|Networking|Cloud|Distributed Systems|Agile|Problem Solving,Kaggle AI Jobs,
RAG Engineer,Mid-size (501-5000),AI Engineering,AI Engineering - Search Systems|Vector DBs|Python|Embeddings|LangChain|Linux,Amsterdam,Netherlands,On-site,145000.0,94,2025,Search Systems|Vector DBs|Python|Embeddings|LangChain|Linux,Kaggle AI Jobs,
Multimodal AI Engineer,Mid-size (501-5000),AI Engineering,AI Engineering - Fine-tuning|PyTorch|Vision-Language Models|Agile|Communication,Zurich,Switzerland,On-site,244000.0,90,2025,Fine-tuning|PyTorch|Vision-Language Models|Agile|Communication,Kaggle AI Jobs,
AI Infrastructure Eng,SME (51-500),Infrastructure,Infrastructure - Distributed Systems|Kubernetes|Networking|Statistics,Zurich,Switzerland,Hybrid,167000.0,85,2026,Distributed Systems|Kubernetes|Networking|Statistics,Kaggle AI Jobs,
AI Infrastructure Eng,Mid-size (501-5000),Infrastructure,Infrastructure - Kubernetes|Distributed Systems|Cloud|Networking|Problem Solving|Statistics|Research,Chicago,USA,On-site,196000.0,85,2026,Kubernetes|Distributed Systems|Cloud|Networking|Problem Solving|Statistics|Research,Kaggle AI Jobs,
AI Security Engineer,Enterprise (5000+),Security,Security - Red Teaming|Python|Cybersecurity|Risk Analysis|Cloud,Amsterdam,Netherlands,Fully Remote,146000.0,80,2025,Red Teaming|Python|Cybersecurity|Risk Analysis|Cloud,Kaggle AI Jobs,
AI Infrastructure Eng,Mid-size (501-5000),Infrastructure,Infrastructure - Kubernetes|CUDA|Cloud|Storage|Distributed Systems|Problem Solving|Linux|Leadership,London,UK,Hybrid,179000.0,85,2025,Kubernetes|CUDA|Cloud|Storage|Distributed Systems|Problem Solving|Linux|Leadership,Kaggle AI Jobs,
Senior ML Engineer,Big Tech (FAANG+),AI Engineering,AI Engineering - MLOps|LLM Fine-tuning|System Design|Agile|Research|Communication,New York,USA,Hybrid,374400.0,96,2026,MLOps|LLM Fine-tuning|System Design|Agile|Research|Communication,Kaggle AI Jobs,
Deep Learning Engineer,Big Tech (FAANG+),AI Engineering,AI Engineering - Neural Networks|PyTorch|TensorFlow|CUDA|Python|Communication|Research,Toronto,Canada,Hybrid,253000.0,89,2025,Neural Networks|PyTorch|TensorFlow|CUDA|Python|Communication|Research,Kaggle AI Jobs,
Prompt Engineer,SME (51-500),AI Engineering,AI Engineering - NLP|Testing|Documentation|LLM APIs|Research|SQL,London,UK,Fully Remote,121000.0,82,2025,NLP|Testing|Documentation|LLM APIs|Research|SQL,Kaggle AI Jobs,
MLOps Engineer,Big Tech (FAANG+),ML Operations,ML Operations - CI/CD|Kubernetes|Docker|Statistics|Cloud|Problem Solving,Remote,Global,Hybrid,312000.0,93,2025,CI/CD|Kubernetes|Docker|Statistics|Cloud|Problem Solving,Kaggle AI Jobs,
AI Solutions Architect,Mid-size (501-5000),Architecture,Architecture - ML|Leadership|Enterprise Architecture|System Design|Python|Leadership|Cloud|SQL,Tokyo,Japan,On-site,180000.0,84,2025,ML|Leadership|Enterprise Architecture|System Design|Python|Leadership|Cloud|SQL,Kaggle AI Jobs,
Senior Data Scientist,Big Tech (FAANG+),Data Science,Data Science - Deep Learning|Leadership|ML|Causal Inference|Advanced Statistics|SQL|Statistics,Toronto,Canada,Hybrid,244000.0,90,2026,Deep Learning|Leadership|ML|Causal Inference|Advanced Statistics|SQL|Statistics,Kaggle AI Jobs,
AI Agent Developer,Big Tech (FAANG+),AI Engineering,AI Engineering - APIs|Python|Tool Use|Planning Systems|Problem Solving|Cloud|Linux,San Francisco,USA,On-site,348000.0,96,2026,APIs|Python|Tool Use|Planning Systems|Problem Solving|Cloud|Linux,Kaggle AI Jobs,
Senior Data Scientist,SME (51-500),Data Science,Data Science - Leadership|Advanced Statistics|Deep Learning|Statistics|Research|Cloud,Amsterdam,Netherlands,Fully Remote,183000.0,90,2026,Leadership|Advanced Statistics|Deep Learning|Statistics|Research|Cloud,Kaggle AI Jobs,
Multimodal AI Engineer,Big Tech (FAANG+),AI Engineering,AI Engineering - PyTorch|Vision-Language Models|APIs|Fine-tuning|Python|Research|Statistics|Problem Solving,Berlin,Germany,Hybrid,360000.0,90,2026,PyTorch|Vision-Language Models|APIs|Fine-tuning|Python|Research|Statistics|Problem Solving,Kaggle AI Jobs,
LLM Engineer,Mid-size (501-5000),AI Engineering,AI Engineering - Fine-tuning|RAG|Vector DBs|Research|Communication|Leadership,Sydney,Australia,Hybrid,181000.0,98,2026,Fine-tuning|RAG|Vector DBs|Research|Communication|Leadership,Kaggle AI Jobs,
NLP Engineer,Big Tech (FAANG+),AI Engineering,AI Engineering - Text Processing|LLMs|Python|BERT|Hugging Face|Leadership,New York,USA,Hybrid,295000.0,91,2025,Text Processing|LLMs|Python|BERT|Hugging Face|Leadership,Kaggle AI Jobs,
AI Product Manager,Startup (1-50),Product,Product - Product Strategy|AI Literacy|Agile|Data Analysis|Stakeholder Mgmt|Research|Linux,Paris,France,Fully Remote,140000.0,85,2026,Product Strategy|AI Literacy|Agile|Data Analysis|Stakeholder Mgmt|Research|Linux,Kaggle AI Jobs,
AI Product Manager,Enterprise (5000+),Product,Product - AI Literacy|Product Strategy|Data Analysis|Agile|Research|Agile|Linux,Paris,France,Fully Remote,281000.0,85,2025,AI Literacy|Product Strategy|Data Analysis|Agile|Research|Agile|Linux,Kaggle AI Jobs,
LLM Engineer,Big Tech (FAANG+),AI Engineering,AI Engineering - LLM APIs|RAG|Fine-tuning|Python|Agile,Amsterdam,Netherlands,On-site,283000.0,98,2026,LLM APIs|RAG|Fine-tuning|Python|Agile,Kaggle AI Jobs,
Computer Vision Engineer,SME (51-500),AI Engineering,AI Engineering - CUDA|Image Processing|PyTorch|CNNs|Python|OpenCV|Problem Solving|Communication,Singapore,Singapore,Fully Remote,145000.0,87,2025,CUDA|Image Processing|PyTorch|CNNs|Python|OpenCV|Problem Solving|Communication,Kaggle AI Jobs,
Robotics Engineer (AI),Big Tech (FAANG+),Robotics,Robotics - Control Systems|C++|ROS|Simulation|Computer Vision|Python|Leadership|Communication|Linux,Remote,Global,Hybrid,252000.0,76,2026,Control Systems|C++|ROS|Simulation|Computer Vision|Python|Leadership|Communication|Linux,Kaggle AI Jobs,
